peaks_diff,period,oxigen_per_lit
417.1190476,1.977598852,0.766093645
186,9.950663095,2.66540301
273,2.441032461,1.438294314
328.3333333,2.41970232,1.574147157
296.6666667,2.581059774,1.526147157
311.6666667,2.413992158,1.558173913
364.8666667,2.760269168,1.392441472
403.4666667,2.760548324,1.591951505
352.6666667,2.430237238,1.747198997
382.5,2.502019004,1.678386288
447.3333333,2.498140005,1.956158863
452.3333333,2.585828283,1.8650301
451.5,2.479820004,2.090994983
493.3,2.578690591,2.022143813
489.8333333,2.448145483,2.314876254
521.2666667,2.550670711,2.376682274
530.8,2.896963598,2.1690301
516.6,2.922363017,2.258869565
539.5666667,2.599899811,2.839389632
533.4,2.56126956,2.490399666
557.8333333,2.523054113,2.794749164
519.1666667,2.492549078,3.097886288
524.8333333,2.35981522,3.293921405
562.4285714,2.263581043,3.310795987
567.452381,2.133139925,3.848869565
576.8571429,2.091432513,3.850976589
553.5714286,2.108105827,3.856896321
586.7142857,2.075365367,3.980789298
562,1.848311386,4.617812709
560.7888889,1.655283805,5.362956522
592.6222222,1.567633848,5.349725753
594.3444444,1.546009722,6.180232441
595.1,1.484946087,6.241401338
631.7272727,1.370904874,6.419053512
624.7272727,1.34349201,7.184185619
638.1818182,1.332131085,7.180434783
586.6363636,1.329402632,7.306414716
524.5833333,1.294412823,7.728602007
494.8406593,1.070230062,8.294675585
471.6,0.997486651,9.08726087
506.1410256,0.983778741,9.771137124
554.3666667,1.47666969,5.533682274
570.2222222,1.566156391,6.063327759
580,1.511624355,6.655137124
592.2636364,1.485266504,6.54670903
583,1.492591613,6.712456522
326.7857143,1.284871452,1.383513378
287.6825397,1.493589041,3.381934783
385,1.488363643,3.153025084
343.4,1.493247762,3.349974916
475,1.485289796,3.321839465
546.4,1.480625921,4.356351171
462.425,1.484508549,4.329794314
452.9,1.467547398,4.532061873
343.3846154,1.138305005,4.917994983
423.7878788,1.498421852,3.845667224
473.8,1.459779292,4.422240803
449.3636364,1.376286827,4.344108696
476.6,1.483249838,4.682324415
141.8,3.709087887,4.33216388
547.3,1.502580454,4.239132107
543.2444444,1.535198233,4.195964883
493.1181818,1.437431603,4.589603679
652.125,1.225835592,0.002006689
337.3611111,1.65450721,0.002006689
542.25,1.674175983,0.004013378
447.5,2.061147682,3.21533612
338,2.486977207,2.851829431
650.4,3.300895566,3.329779264
367.9333333,2.529618683,3.013205686
459.3333333,2.496489155,2.888740803
389.6666667,2.492905795,2.899143813
448.8333333,2.51818053,2.745874582
463.1666667,2.509615964,3.081005017
538,2.45660766,3.029697324
614.7380952,2.502508971,3.012459866
629.7619048,0.731090261,3.600119922
734.6666667,1.100948395,2.240040134
353.4,2.913978091,1.32543311
415.7666667,2.643351545,1.657578595
517,2.977303178,1.911409699
718.75,3.313469965,1.974677258
794.35,3.29284854,2.199851171
700.3333333,2.899246329,2.464695652
644.5,2.655452478,2.514436455
624,2.440862938,2.276688963
545,2.898909552,1.998444816
700,2.682173691,2.446302676
677.1666667,2.544542532,2.223928094
640,2.798029458,2.233083612
527,6.544399266,1.523220736
713.4,2.990908796,2.093438127
618.0833333,1.251163377,4.288207358
625.1708333,1.073680514,7.174919732
629.35,0.963551295,7.766976589
611.125,0.940521931,7.543580268
633.125,0.937259508,7.62798495
630.3529412,0.890761389,8.200466555
559.8,2.651410591,0.720150502
222.1666667,5.123229289,1.537006689
380,4.797836597,1.582123746
307.8333333,2.623591865,1.827949833
275.4571429,2.553599308,2.343687291
265.8666667,2.578819646,1.806662207
280,2.368698238,1.66772408
288.2380952,2.506316363,1.665812709
516.875,2.087502831,1.951444816
322.1428571,2.280589849,1.785536789
340.1428571,2.006471007,2.15561204
338.8333333,2.309432587,2.053274247
401.3333333,1.665777429,2.785421405
485.8571429,1.671766532,2.707331104
431.2063492,1.713006707,2.946367893
408.1666667,1.89185729,2.862951505
482.25,1.652264956,3.259317726
422.25,1.994307719,3.300006689
413.25,2.012834334,3.516804348
515.125,1.754060462,3.631404682
568.6944444,1.701211791,3.547409699
509.1388889,1.686339056,4.075423077
500.1111111,1.650382266,4.143705686
597.5555556,1.642644352,4.367496656
589.4305556,1.646304267,4.225762542
625.6666667,1.670284641,4.28679097
647.9333333,1.629675352,4.607899666
601.7111111,1.599438932,4.935744147
675.9555556,1.602204655,5.094750836
725.2222222,1.611507618,4.90741806
777.3333333,1.617089273,5.153312709
622.0666667,1.592200735,5.632061873
542,2.786155777,5.88338796
682,1.224763082,6.245859532
-189.8,3.957337814,6.537531773
576.9807692,1.206826654,6.599448161
652.2307692,1.152917578,7.390011706
608.2912088,1.151982751,7.358710702
634.2307692,1.153465516,7.382588629
542.8296703,1.139426133,7.748944816
637.1538462,1.132274634,8.004349498
634.1758242,1.125729694,8.196043478
642.2032967,1.129005506,8.198282609
627.9285714,1.116916049,8.301130435
666.9090909,1.209703642,4.110102007
636.3125,0.973631511,7.767734114
621.6875,0.908078752,7.87382107
623.2720588,0.904675385,7.93276087
632.7279412,0.921296108,7.964809365
294.4285714,2.065971744,2.568682274
433.3,2.658063067,2.059312709
471.4285714,2.189188563,2.489028428
543.125,1.817202714,3.537804348
529.7142857,2.048598209,3.10208194
565.6666667,1.730122862,4.12177592
600.2222222,1.609794922,4.158421405
627.5,1.571583887,4.200541806
644.2,1.492263267,4.922463211
652.2,1.462174616,4.897685619
696.5727273,1.410718378,5.608879599
699.8181818,1.391195371,5.301160535
681.3090909,1.400420189,5.646866221
737.5454545,1.366165296,6.011379599
729.1818182,1.35434351,5.722545151
737,1.362202499,5.78030602
1071,9.585555286,0.545317726
758.7571429,0.689282163,3.423531773
580.75,2.711870901,2.181856187
543.7333333,2.703771587,1.824657191
633.9333333,2.858542093,2.192929766
710.5,2.419001124,2.504608696
779.8333333,2.377888547,2.817953177
760.5,2.322769172,3.135591973
785.6904762,2.3577442,2.921804348
857.5,2.611021629,2.953006689
791.3333333,2.482414315,2.874640468
817.1428571,2.083397856,3.261491639
826.6190476,2.283080019,2.592401338
807.5714286,2.355202684,3.148655518
742.1904762,2.228912948,2.957673913
772.7142857,2.135178672,3.077809365
797.4761905,2.343713467,2.888862876
549.2222222,1.544060066,3.188959866
615.2333333,1.338388321,5.595854515
596.6363636,1.375592003,4.914963211
584.7636364,1.383737686,4.768115385
561.9090909,1.38068375,5.179981605
597.5,1.37264774,5.28712709
573.6666667,3.770404533,1.522416388
354.3333333,5.847460631,1.988648829
417.8484848,0.276059958,2.820493311
403.4666667,1.463401223,2.892953177
560.2,1.455277946,3.507966555
538.3,1.46572161,4.204421405
600.4363636,1.46540968,4.644782609
635.9,1.497372206,4.689662207
761.975,1.562728817,4.647287625
690.6,1.477261255,4.805598662
810.7,1.475091864,4.871050167
376.7777778,1.504204304,4.405406355
463,1.490791665,4.573730769
533.2222222,1.503074244,4.542075251
570,1.482073761,4.702025084
569.9583333,1.756410214,4.194959866
638.1111111,1.567689818,4.6774699
623.9191919,1.500638161,5.585282609
373,14.89891908,0.012
706.5151515,1.034309857,2.363182274
227,7.470287471,0.725453177
455,6.59284122,0.605819398
646.6666667,5.637248944,1.263657191
626.5,5.41522084,1.198826087
530.3333333,2.556589244,1.634249164
385.6,2.92157337,1.630939799
502,2.733209211,1.524428094
436.4,3.270566241,1.33726087
392.5833333,2.806067768,1.768789298
566.8,3.372622426,1.353531773
444.75,2.82978311,1.438555184
418.2333333,2.942278019,1.362299331
536.05,2.693411613,1.465575251
442.2,2.769238218,1.568630435
431.4,2.880872392,1.20912709
748.1904762,1.768324373,1.268367893
722.6904762,2.128601678,3.197799331
857.3809524,2.62841192,2.822147157
1044.285714,2.114374583,3.705563545
1132.180556,1.775425201,4.255571906
1145.388889,1.515850356,5.190946488
1230.2,1.465457372,5.742341137
1083.222222,1.596415184,5.220923077
1043.988889,1.519465261,5.788354515
1137.8,1.48841024,5.433148829
1148.627273,1.419245939,5.86656689
1181.3,1.435675953,5.600048495
1068.2,1.436167063,5.760421405
1008.9,1.477726071,5.786367893
1003.690909,1.41995619,6.162690635
1042.454545,1.424707442,6.127133779
532.0666667,2.874187821,0.012
390,5.365055428,3.344316054
465,5.24958197,2.01841806
367.3333333,5.392385225,1.561683946
389.85,2.977928139,1.584573579
241.5,4.095179941,1.036113712
295.3333333,3.487837433,1.276399666
323.2,3.351566752,1.58009699
329.5833333,2.685307434,1.50419398
473.2142857,2.001721861,2.298852843
566.5,3.761191131,1.730864548
405.5,3.736785876,1.714971572
434.8,2.842624456,1.887847826
437.8,2.745838816,1.936494983
483.4,2.728545031,2.203123746
489.8333333,2.333761178,2.478526756
542.547619,2.24007896,2.610764214
536.1666667,2.275392806,2.564983278
518.9583333,2.028959613,3.545979933
594.1428571,2.285308722,2.768157191
448.3333333,5.701078888,2.50256689
637.1904762,2.268529184,3.654322742
640.8333333,2.259944855,3.368553512
681.8809524,2.211848744,3.155735786
711.1428571,2.065640503,3.626782609
734.8035714,1.9521886,4.009510033
695.6666667,1.613172462,4.539302676
735.0178571,1.869360484,4.48022408
826.2857143,1.990642317,4.694168896
804.7222222,1.807120153,5.14316388
830.7777778,1.623753611,4.781043478
760.9555556,1.425255226,6.021831104
806.7777778,1.631137402,5.42840301
836,1.486853724,5.901816054
862.1,1.404740416,6.418928094
875.4924242,1.347812187,6.957959866
907.8181818,1.347461862,7.183232441
867.1212121,1.232305914,7.20914214
870.3589744,1.1953869,7.804695652
880.4615385,1.158339274,8.18377592
912.3397436,1.231212324,8.470098662
931.25,1.265133412,8.86829097
932,1.164855865,8.434568562
900.752381,1.0440455,9.450354515
823.1333333,0.963812053,10.3778612
814.2238095,0.970486032,10.55097492
811.0952381,1.046138009,5.287123746
762.6833333,1.032451669,0.026006689
263,13.431121,0.40380602
318.75,3.79477373,2.137785953
315.5,3.928076317,0.750807692
453.75,4.367486135,0.790434783
461.8333333,4.335032929,1.068941472
489.1666667,4.044849618,0.990170569
481.0833333,3.881405038,1.25670903
495.6666667,4.13698981,1.048652174
450.5833333,4.342164071,1.235456522
520.8333333,4.262313887,1.055697324
501.5,4.065780412,1.364729097
498,4.051863225,1.085752508
478.25,3.798011666,1.087210702
467,3.870227007,1.216710702
517.5833333,4.213515616,1.117986622
476.75,3.996256184,1.073892977
509.75,3.791513074,1.262749164
447.547619,0.800705786,1.760274247
485,2.863072524,0.016013378
384,3.542253446,3.181249164
273.4285714,2.183933776,2.04422408
490.7,2.981668024,2.353080268
371.95,2.841688003,2.092359532
432.3,2.40913502,2.52962709
426,2.432940828,2.72259699
437.6666667,2.520806806,2.644501672
422.8333333,3.121467447,2.751337793
399.9821429,2.208403439,3.238908027
445.1666667,2.065728565,2.614344482
485.6666667,2.44652121,2.59179097
499.1666667,2.210379906,2.864026756
491.7142857,2.46245532,3.065765886
443.7380952,2.349972019,2.949802676
449,2.258081875,3.02790301
491.7,2.803226143,2.736075251
-106,7.340060905,2.369496656
478.9761905,2.272910324,2.703120401
522.9666667,2.558625473,2.411170569
489,2.515209495,2.606772575
476.3333333,2.592144317,2.542690635
477.6666667,2.68342005,3.386752508
516.625,1.060574534,3.078295987
388.3,2.753904137,2.295704013
496.3,2.750691201,2.354904682
477.3666667,2.747982332,2.781936455
485.6666667,2.762767439,2.461249164
501.45,2.578929392,2.904080268
636.5641026,0.840833975,1.971939799
381.1190476,1.977470984,1.368389632
623.6666667,2.45386994,2.265
744.9,2.509058533,2.677737458
779.1142857,2.138501404,3.042046823
716.9,2.475823905,3.005692308
774.2857143,2.156634894,3.72777592
840.8571429,2.068774433,3.810802676
824.4285714,2.263223211,3.887005017
868.3333333,2.422609252,3.291944816
906.2857143,2.177214542,3.827655518
865.547619,2.20118527,3.792745819
857.3333333,2.358641332,3.329658863
869.1428571,2.189737973,3.856270903
871.5714286,2.104048582,3.924662207
852,2.050865863,3.716769231
607.5,4.470169943,4.863471572
210.5,5.624650117,1.412794314
277.5833333,4.809623914,2.614882943
346,2.157433453,1.617038462
332.2777778,1.804550075,1.663001672
306.8571429,2.042093491,1.776551839
338.3333333,2.091708375,2.639147157
450,14.70736907,3.173204013
325.2222222,1.453321793,3.148043478
432.1222222,1.451960917,3.441931438
493.5,1.455488192,4.202448161
586.5909091,1.456899213,4.857591973
669.3,1.466388492,5.393150502
524,1.46576698,5.58151505
564.2666667,1.503366478,5.650535117
651.1,1.467542661,5.770257525
735.7,1.478812291,5.708719064
536.1,1.473655076,5.593006689
582.4090909,1.457581954,5.751811037
701.1,1.469867118,5.871140468
772.3727273,1.464899471,5.897687291
766.7,1.492346013,6.010553512
610.0808081,1.428499598,6.087720736
798,6.558398369,2.308769231
260.0666667,2.471544947,1.586692308
339.5,2.472227347,1.728867893
334.8571429,2.061201367,2.621167224
257.5,1.947467153,3.05187291
425.6190476,2.367185644,2.872113712
411.2619048,2.462620613,2.782505017
485,2.476397515,2.879615385
461.2142857,2.423017009,2.884234114
483.5,2.468943808,2.912247492
383.6666667,2.104836428,3.243712375
394.1190476,2.152132105,2.858187291
409.7142857,2.100490968,3.120817726
521.6666667,2.499862504,2.810167224
432.5714286,2.080660976,3.221498328
450.1428571,2.113413909,3.217725753
485.675,2.047427712,3.817513378
206.5,3.337327923,0.453953177
582,7.125011636,1.642608696
414.35,3.244916216,1.136869565
455.25,3.444452526,1.931901338
480.4,3.066031109,2.42290301
531.7,2.901992587,2.714247492
627.6,2.887356423,2.926153846
565.4,3.300805105,3.014339465
558.6,3.041227912,2.989991639
549.1333333,2.858760756,3.219510033
671.5,2.695306596,3.225752508
621,3.017396976,3.278804348
648.5666667,2.66900976,3.752399666
604.0333333,2.723780558,3.252439799
606.8333333,2.535271334,3.654043478
629.5,2.465975899,3.751123746
665.8333333,2.692322017,3.508531773
623,3.932118391,2.394172241
552.8333333,2.164905706,0.022013378
897.6666667,2.899047406,0.910896321
686.0714286,0.642288349,3.583031773
417.625,1.833205395,2.246546823
471.8095238,1.976764399,1.158284281
697,6.370421456,1.274367893
453.6666667,5.228772876,1.035550167
420,3.916373292,1.228675585
542.75,3.755504966,1.370488294
489.6,2.845104168,1.50982107
961.5,3.621330171,1.652474916
478.6,3.177730852,1.47801505
615.9,3.034033334,1.6465
561.2666667,2.853399174,1.975379599
425.25,6.081046709,1.823416388
635.6666667,2.549455307,1.92370903
616.2,2.871965794,2.007053512
811.6,3.197595091,2.270834448
753.0833333,4.679738877,2.643088629
734.3333333,3.150682842,2.561770903
829.1666667,2.556535468,2.600157191
862.3333333,2.492574021,2.784005017
867.7142857,2.213215766,3.52590301
865.0714286,2.314638604,2.949792642
904.452381,2.312426782,3.737036789
928.3214286,1.998465796,3.763809365
436.3333333,6.624229981,3.298901338
1004,2.119736337,4.044869565
928.6607143,2.056848376,4.182531773
986.9166667,1.77925437,4.274961538
1005.972222,1.810372786,4.764660535
1092.125,2.075001107,4.468876254
1127.9,1.497454361,5.346135452
1088.172727,1.363938506,6.149003344
1181.6,1.433037921,6.080379599
1138.018182,1.44113653,6.491397993
1174.745455,1.447084387,6.437518395
1186.8,1.465943115,6.949876254
1195.672727,1.440010873,7.580354515
1018.215278,0.847209766,8.588603679
1043.328173,0.784686706,9.813707358
954.8397436,0.990064715,2.863884615
349,7.060028927,1.12683612
148.3333333,2.587397237,1.608267559
145.2,2.590320699,1.629095318
222.5666667,2.58794199,1.810660535
287,2.21544702,2.127317726
259.8333333,2.415906517,2.071143813
295.5952381,2.417976713,2.075217391
305.0714286,2.338544685,2.240774247
420.2857143,2.201006291,2.557640468
478.3571429,2.219552665,2.352717391
446.2857143,2.211132912,2.671540134
401.3142857,2.183649532,2.782949833
384.4285714,1.984942673,2.96523913
359.8,4.144214608,3.192889632
436.3333333,2.446250095,3.057943144
412.1190476,2.44063901,3.135973244
451.75,1.684093501,3.729230769
479.4111111,1.637891875,4.146441472
489.1111111,1.65038928,4.096555184
479.8888889,1.634896891,4.176421405
560.5444444,1.635494687,4.330909699
629.7777778,1.636531658,4.698877926
664.4444444,1.641244108,4.833897993
706.6222222,1.610897311,5.020622074
668.0892857,1.588339544,4.90222408
639.1111111,1.623729808,5.257759197
661.3333333,1.627290556,5.614632107
666.7,1.584335529,5.541036789
586.4454545,1.512770703,6.045147157
637.0111111,1.575914504,5.608545151
626.8,1.5777526,6.20883612
626.5818182,1.51155245,6.26788796
567.7916667,1.16197311,6.934622074
390.625,2.292730431,7.943270903
405.2472527,1.12830572,8.065943144
470.1071429,2.253652858,8.257103679
456.8241758,1.122920635,8.352963211
514.1190476,1.118841662,8.562133779
460,1.996104741,2.285712375
470.6428571,2.039970375,4.513799331
508.5714286,2.154330416,3.760991639
481.547619,2.393620667,3.395207358
470.5,2.518063359,3.418302676
482.5,2.426771956,3.629386288
320.4285714,1.997263957,1.783891304
375.6753247,1.428689163,3.775672241
306.0818182,1.406686505,2.950439799
343.7727273,1.418656489,3.229897993
311.1818182,1.399534542,3.098826087
732.2121212,1.376481726,2.287284281
509.5,4.80305804,1.880501672
658.6666667,2.438061843,2.701561873
676.7666667,2.745845745,2.854576923
768.6666667,2.587693673,3.367586957
854.6666667,2.632299851,3.218618729
844.3333333,2.477149551,3.602006689
857,2.407297278,3.651986622
789,2.279681926,4.091780936
878.3333333,2.424899353,3.660444816
810,2.343315697,3.48716388
826.2857143,2.137998787,4.006374582
857,2.530270171,3.252098662
813.8571429,2.212503656,4.048799331
789.7619048,2.356813638,3.814277592
797.75,2.740753881,3.51512709
496.2222222,1.554950814,3.040120401
512.9090909,1.372659241,5.157043478
474.7272727,1.39783524,4.417764214
504.9636364,1.38001571,4.320153846
496.8181818,1.379424572,4.69182107
325,11.18557087,0.065329431
488.8235294,0.840222159,2.687779264
459.9666667,2.904894303,1.496508361
429.4,2.138653227,1.638220736
488.25,3.907186016,1.795906355
393.75,5.179353598,1.595817726
387.8333333,2.385638655,1.473165552
460,4.909649927,1.612234114
435.6,2.461563626,1.224919732
507.2,2.777538086,1.576028428
457.6,2.613202934,1.478105351
482.9333333,2.898126132,1.606294314
379.5333333,2.578541231,1.692560201
460.7666667,2.884941304,1.604187291
530.1333333,2.737270102,1.749963211
653.1666667,2.932709784,1.681974916
588.4666667,2.517487407,1.956924749
609.1333333,2.810845348,1.745600334
499.3333333,2.444870154,2.102780936
546.8095238,2.392867047,2.191143813
557.5,2.319681523,2.342869565
620.1666667,2.680106518,2.235090301
636.1666667,2.405214719,2.518595318
677.3333333,2.505435938,2.454862876
724.2,2.698523567,2.140086957
604.9285714,2.178050847,2.951379599
709.0333333,2.656642904,2.691561873
809.8,2.953567303,2.596463211
804.5952381,2.352568445,2.888036789
797,2.700629817,2.735494983
807.3333333,2.849272042,2.855262542
824.3333333,2.593679855,3.284603679
797.1428571,2.146147243,3.481434783
851.9285714,2.287740638,3.695103679
840.1428571,2.297090719,3.892331104
829.1785714,2.050789302,4.082568562
832.9464286,2.010691764,4.552901338
833.4285714,1.932218926,4.285041806
839.75,1.904867819,4.945464883
809.75,2.014347124,4.27045485
880.875,1.897719885,4.939304348
872.4861111,1.731404801,5.28509699
875.75,1.843142836,5.368735786
854.9464286,1.937386721,5.498869565
871.0888889,1.549161703,6.045913043
875.8888889,1.662753939,5.919190635
868.4727273,1.417185243,7.097824415
852.1909091,1.410137923,7.292588629
788.4120879,1.129266051,8.054115385
826.0909091,1.315416784,8.230571906
351.5,0.336736326,2.813812709
187.875,1.946982422,2.528588629
406.6805556,1.598402427,3.490591973
448.9,1.583467126,4.014122074
487.3555556,1.589927786,4.157295987
586.1222222,1.595332564,4.693941472
604.1111111,1.597622863,4.530050167
573.7777778,1.596521753,4.505837793
660.0666667,1.583228742,5.180862876
528.9444444,1.581763841,4.747311037
543.9222222,1.597137866,4.838934783
638.3666667,1.600953837,5.226993311
636.5777778,1.601574187,4.975655518
586.1111111,1.599655574,4.893591973
632.2666667,1.592666286,5.011334448
661.6,1.595158267,5.206839465
503.5,1.458255804,2.722374582
691,12.39697729,2.478155518
323.75,3.526639084,1.325013378
358.8,3.13624007,1.682274247
383.4,2.992136438,1.662583612
396,2.991022308,1.706056856
294.8333333,4.291651789,0.68129097
261.4,3.292037566,1.01448495
360.2,2.949105313,1.518075251
335.1666667,2.743512869,1.701913043
337.8,2.726074996,1.665892977
354.6,2.945569424,1.631959866
362.2,2.941437967,1.514187291
388.3,2.789970997,1.651148829
359.4666667,2.630344157,1.931598662
364.8,2.976790322,1.667859532
395.85,3.328044055,1.593245819
409.6,2.955069862,1.570446488
386.8333333,2.682164648,1.839959866
366.8666667,2.667518022,1.777685619
355,3.036952732,1.744195652
369.2,2.931188976,1.778259197
606.3928571,0.33658471,2.533615385
202.375,1.900487752,3.047989967
461.3777778,1.547373963,4.058008361
588.1111111,1.560645221,4.327289298
567.8666667,1.543593965,4.986571906
607.8888889,1.554619586,5.097270903
680.8,1.537553026,5.601041806
668.8,1.53863756,5.586974916
703.3,1.543446521,5.597811037
768.9222222,1.549160919,6.034408027
768.8,1.540549095,5.665339465
757.7222222,1.5359984,6.012431438
777.9,1.542154752,6.184841137
825.6555556,1.544820481,5.550242475
831.1,1.544926477,6.162197324
938.5444444,1.539903479,5.965944816
766.5666667,2.633395798,3.185083612
499,7.876062044,0.489648829
405.3,2.438392644,2.19456689
338.95,3.277923243,1.221319398
412,3.082597002,1.591396321
441.2,3.021900927,1.735580268
465.9,3.213115026,1.514550167
473.6,3.167725838,1.826481605
414.8,2.920781721,1.703879599
429.9,2.691397544,1.704560201
430.65,3.171787065,1.605580268
388.85,2.914845521,1.751658863
401.5666667,2.783194281,1.634289298
415.7,2.883118084,1.636035117
436.7333333,2.582408738,1.786342809
425.0666667,2.706035193,1.706819398
454.2666667,2.949072148,1.553162207
456,2.974049836,1.653262542
314.5,6.234260266,2.26916388
227,5.763526589,0.120913043
218.9,2.821404736,2.653100334
238,2.773815901,1.338459866
195.5,2.569766677,1.434255853
256,2.620563489,1.564173913
226.7,2.727763956,1.553570234
262.5333333,2.873322197,1.328578595
284.4,3.28698784,1.611326087
295.1666667,2.483730156,1.566060201
317.8333333,2.429541861,1.934538462
311.5,2.471000012,1.812692308
340.0952381,2.482940751,2.078615385
357.6,2.848545213,2.094170569
406.7380952,2.362011967,2.340882943
398.7333333,2.80548745,2.340909699
411.5,2.572129796,2.116143813
402.1904762,2.466366238,2.530662207
449,2.449643992,2.610200669
456.2666667,2.760949446,2.620214047
469.2666667,2.570221765,2.565809365
437.952381,2.314477345,2.953919732
474.4761905,2.376724771,3.421595318
477.952381,2.296764934,3.15572408
491.7142857,2.201016418,3.731812709
519.4285714,2.159313949,3.841133779
530.5714286,2.127691118,3.660143813
568,2.124029075,3.773662207
522.7142857,2.04334773,4.130834448
565.0833333,1.830357784,4.503956522
581.8333333,1.741186114,4.801565217
592.1388889,1.713550718,5.443070234
614.7638889,1.751000916,5.01414214
606.9333333,1.614158043,5.782737458
640.6,1.466006558,5.881056856
627.5,1.453873597,6.746958194
616.8363636,1.389651418,7.155571906
633,1.33357256,6.806842809
631.9545455,1.325855618,7.829346154
642.1515152,1.317053224,8.068573579
633.9469697,1.304850554,7.986687291
561,1.272930067,8.090976589
363.4318182,0.784915586,1.765911371
222.9166667,3.510349615,1.108220736
339.8333333,3.577955983,1.394411371
422.8333333,3.970090305,1.309212375
363.75,3.589020332,1.322668896
330.25,3.563942388,1.272602007
368.3,3.493636665,1.44759699
382.85,3.515717935,1.634953177
371.5,4.046784859,1.10780602
340.75,3.495139584,1.487730769
409.75,4.002680191,1.474332776
383.4166667,3.818241362,1.754923077
373.8,3.391608751,1.558133779
386.3,3.533942733,1.661939799
430.25,3.931398685,1.857632107
473.1,3.379364261,1.981505017
471.5,3.447387619,1.975132107
458.2,3.687157377,2.199976589
391.25,3.752577125,2.154829431
460.25,3.235753769,2.163115385
469.25,3.36583916,2.512652174
478.3333333,2.927369089,2.52345485
478.6,3.000686668,2.822404682
529.4,2.790159134,2.944060201
510,2.847603331,2.975702341
504.6333333,2.646182701,2.822264214
501.9666667,2.712950622,3.251326087
472,2.622054533,3.040632107
533.5714286,2.407394546,3.319409699
550.3333333,2.354559627,3.799638796
569.2333333,2.751258012,3.758137124
